(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-13-31.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-13-32.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-13-33.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-13-34.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-13-35.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-13-36.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-13-38.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-13-39.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-13-40.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-13-41.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-13-42.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-13-43.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-13-44.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-13-45.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-13-46.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-13-48.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-13-49.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-13-50.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-13-51.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-13-52.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-13-53.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-13-54.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-13-55.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-13-56.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-13-58.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-13-59.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-14-00.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-14-01.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-14-02.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-14-03.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-14-04.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-14-05.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-14-07.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-14-08.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-14-09.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-14-10.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-14-11.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-14-12.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-14-13.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-14-14.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-14-15.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-14-17.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-14-18.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-14-19.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-14-20.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-14-21.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-14-22.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-14-23.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-14-24.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-14-25.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-14-27.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-14-28.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-14-29.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-14-30.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-14-31.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-14-32.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-14-33.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-14-34.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-14-36.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-14-37.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-14-38.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-14-39.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-14-40.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-14-41.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-14-42.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-14-43.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-14-44.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-14-46.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-14-47.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-14-48.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-14-49.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-14-50.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-14-51.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-14-52.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-14-53.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-14-54.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-14-56.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-14-57.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-14-58.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-14-59.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-15-00.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-15-01.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-15-02.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-15-03.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-15-05.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-15-06.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-15-07.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-15-08.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-15-09.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-15-10.yaml')
(_INOTIFY_EVENT(wd=1, mask=8, cookie=0, len=32), ['IN_CLOSE_WRITE'], '/home/matt-ip/Desktop/ForestGenerator-1.2/checkpoints/', '2021-12-11_02-15-11.yaml')
